frame,pig_id,length_m,width_m,area_m2,hu1,hu2,hu3,hu4,hu5,hu6,hu7
2,1_1,0.6976415094339622,1.6076086956521738,1.0859978283308747,0.23015873015873017,0.025195263290501382,0.0,0.0,0.0,0.0,0.0
3,1_1,0.7595814977973568,1.0709627329192546,0.5279451449997368,0.22386821025398657,0.019707405572859583,0.001084463495565899,0.00011366895590777211,-2.3287296413273315e-08,-1.2663881813900224e-05,-3.2410274929011944e-08
4,1_1,0.7655286343612334,1.040568862275449,0.48359789888995863,0.23373542402244216,0.02268695303315659,0.001365825086870375,0.0001596242311588082,-3.6510694766926874e-08,-1.650237052486948e-05,-6.497741770973002e-08
6,1_1,0.7983990147783251,0.9054469273743017,0.4378539782844635,0.22995775261469592,0.020366919517952754,0.0009742979972525129,0.00012758171780920816,-4.043663549742212e-08,-1.7533618368102155e-05,-1.970187558106613e-08
7,1_1,0.8328488372093024,0.8047752808988764,0.28532035740422307,0.31920181179745194,0.07388598090740152,0.0002833184978729644,0.00014818213317921794,2.9801754066506008e-08,3.388280211573216e-05,-5.80604166686644e-09
7,2_1,1.0086572438162544,0.5553501945525292,0.3636009269640477,0.2208226191849163,0.016429794846063047,0.0030061011145716193,0.0004062972333587449,4.28846878688697e-07,4.995105911800163e-05,-1.3308299370898254e-07
8,1_1,0.8344186046511628,0.8008928571428572,0.2910281952793878,0.3169504021879309,0.0725626519674081,0.00026144255395510403,0.00012196622174266758,2.1099846325313294e-08,2.551220668344765e-05,-5.3983523244876294e-09
8,2_1,1.0086572438162544,0.5553501945525292,0.3646271888475038,0.22156963105393168,0.016783007678909605,0.0028886354418966673,0.000389476821862189,3.945243437969804e-07,4.877989558965859e-05,-1.225268936834177e-07
8,3_1,0.8387055837563452,0.7905502392344498,0.35853547098635014,0.23558931627588114,0.022705097290483714,0.001016376086463718,0.00015567972681338043,-3.056479443677023e-08,-1.6342174854338813e-05,-5.385780460417809e-08
8,4_1,1.0723282442748092,0.5108181818181818,0.3510218015747556,0.2616716403446447,0.036045600864741456,0.005108345384198559,0.001724845142258969,5.118328231444983e-06,0.00032387672006351816,1.286561224737506e-07
